Data,Cidade,Novos,Total
2020-04-21,Monte Mor,2,4
2020-04-21,Morungaba,0,4
2020-04-21,Nova Odessa,0,0
2020-04-21,Paulínia,2,13
2020-04-21,Pedreira,0,0
2020-04-21,Santa Bárbara D'oeste,0,0
2020-04-21,Santo Antônio De Posse,0,0
2020-04-21,Sumaré,3,19
2020-04-21,Valinhos,0,18
2020-04-21,Vinhedo,0,14
2020-04-22,Americana,3,28
2020-04-22,Artur Nogueira,0,1
2020-04-22,Campinas,22,199
2020-04-22,Cosmópolis,0,0
2020-04-22,Engenheiro Coelho,0,0
2020-04-22,Holambra,0,2
2020-04-22,Hortolândia,3,23
2020-04-22,Indaiatuba,4,36
2020-04-22,Itatiba,0,0
2020-04-22,Jaguariúna,0,5
2020-04-22,Monte Mor,0,4
2020-04-22,Morungaba,1,5
2020-04-22,Nova Odessa,0,0
2020-04-22,Paulínia,0,13
2020-04-22,Pedreira,1,1
2020-04-22,Santa Bárbara D'oeste,0,0
2020-04-22,Santo Antônio De Posse,0,0
2020-04-22,Sumaré,1,20
2020-04-22,Valinhos,2,20
2020-04-22,Vinhedo,2,16
2020-04-23,Americana,0,28
2020-04-23,Artur Nogueira,0,1
2020-04-23,Campinas,27,226
2020-04-23,Cosmópolis,0,0
2020-04-23,Engenheiro Coelho,0,0
2020-04-23,Holambra,1,3
2020-04-23,Hortolândia,0,23
2020-04-23,Indaiatuba,9,45
2020-04-23,Itatiba,0,0
2020-04-23,Jaguariúna,0,5
2020-04-23,Monte Mor,1,5
2020-04-23,Morungaba,0,5
2020-04-23,Nova Odessa,0,0
2020-04-23,Paulínia,1,14
